date,draw,n1,n2,n3,n4,fb
04/05/26,EVE,9,0,4,2,9
04/05/26,MID,5,1,8,8,9
04/04/26,EVE,5,5,3,7,5
04/04/26,MID,4,7,1,2,8
04/03/26,EVE,8,3,4,0,8
04/03/26,MID,0,6,6,2,7
04/02/26,EVE,1,8,6,1,6
04/02/26,MID,6,2,5,6,4
04/01/26,EVE,1,4,7,9,7
04/01/26,MID,6,8,7,2,0
03/31/26,EVE,8,8,1,7,4
03/31/26,MID,2,6,0,8,9
03/30/26,EVE,3,7,4,8,6
03/30/26,MID,4,4,3,9,4
03/29/26,EVE,6,3,2,7,2
03/29/26,MID,2,2,0,5,7
03/28/26,EVE,8,3,3,0,3
03/28/26,MID,5,8,7,6,1
03/27/26,EVE,4,1,8,7,8
03/27/26,MID,3,6,6,5,3
03/26/26,EVE,5,0,8,0,1
03/26/26,MID,4,0,1,7,7
03/25/26,EVE,0,9,7,3,5
03/25/26,MID,4,8,7,6,6
03/24/26,EVE,5,9,3,5,5
03/24/26,MID,7,3,1,8,7
03/23/26,EVE,1,1,6,9,0
03/23/26,MID,3,6,3,4,8
03/22/26,EVE,8,0,7,3,0
03/22/26,MID,0,0,6,3,9
03/21/26,EVE,3,3,0,4,8
03/21/26,MID,2,8,0,3,1
03/20/26,EVE,2,5,3,8,2
03/20/26,MID,2,9,1,6,7
03/19/26,EVE,5,8,9,4,7
03/19/26,MID,7,2,3,5,4
03/18/26,EVE,7,5,9,1,2
03/18/26,MID,7,8,0,4,9
03/17/26,EVE,5,8,6,9,5
03/17/26,MID,8,5,8,5,0
03/16/26,EVE,6,2,7,4,0
03/16/26,MID,3,9,5,9,8
03/15/26,EVE,7,7,0,1,6
03/15/26,MID,9,0,7,1,7
03/14/26,EVE,3,8,8,6,1
03/14/26,MID,7,0,7,2,9
03/13/26,EVE,9,4,6,1,6
03/13/26,MID,8,1,5,9,5
03/12/26,EVE,8,3,7,9,7
03/12/26,MID,8,0,3,4,9
03/11/26,EVE,2,6,1,1,8
03/11/26,MID,7,0,5,2,9
03/10/26,EVE,9,0,8,0,4
03/10/26,MID,4,0,9,3,1
03/09/26,EVE,7,5,4,2,9
03/09/26,MID,1,4,8,8,7
03/08/26,EVE,6,0,1,5,4
03/08/26,MID,0,8,2,1,1
03/07/26,EVE,1,2,7,0,5
03/07/26,MID,3,6,8,5,2
03/06/26,EVE,2,7,0,2,2
03/06/26,MID,8,3,0,5,6
03/05/26,EVE,0,2,8,2,7
03/05/26,MID,3,7,2,4,9
03/04/26,EVE,5,6,1,0,2
03/04/26,MID,2,5,4,5,3
03/03/26,EVE,3,3,3,6,3
03/03/26,MID,0,8,9,0,5
03/02/26,EVE,8,0,0,5,8
03/02/26,MID,1,7,3,9,8
03/01/26,EVE,9,0,4,1,9
03/01/26,MID,4,5,7,5,9
02/28/26,EVE,7,5,4,3,5
02/28/26,MID,5,6,8,7,7
02/27/26,EVE,3,5,7,1,9
02/27/26,MID,3,4,5,3,1
02/26/26,EVE,3,8,1,4,8
02/26/26,MID,4,3,2,0,4
02/25/26,EVE,8,1,4,8,3
02/25/26,MID,9,2,8,8,2
02/24/26,EVE,0,8,9,2,8
02/24/26,MID,1,0,8,4,3
02/23/26,EVE,5,9,3,8,3
02/23/26,MID,9,9,5,3,7
02/22/26,EVE,2,4,6,4,4
02/22/26,MID,9,9,7,7,9
02/21/26,EVE,1,0,5,0,8
02/21/26,MID,8,1,0,1,3
02/20/26,EVE,6,3,4,0,4
02/20/26,MID,4,9,6,7,1
02/19/26,EVE,0,9,4,1,3
02/19/26,MID,8,7,1,5,4
02/18/26,EVE,2,2,7,9,9
02/18/26,MID,5,6,1,4,0
02/17/26,EVE,9,2,3,4,0
02/17/26,MID,6,4,5,6,5
02/16/26,EVE,7,1,3,1,8
02/16/26,MID,0,5,5,8,6
02/15/26,EVE,9,0,7,2,1
02/15/26,MID,1,9,8,6,7
02/14/26,EVE,9,0,8,5,4
02/14/26,MID,6,7,2,4,2
02/13/26,EVE,9,0,7,3,8
02/13/26,MID,0,7,2,1,8
02/12/26,EVE,7,6,1,2,2
02/12/26,MID,1,6,1,5,5
02/11/26,EVE,7,2,8,4,1
02/11/26,MID,2,4,9,7,3
02/10/26,EVE,9,2,1,0,1
02/10/26,MID,2,8,8,3,2
02/09/26,EVE,7,9,0,9,7
02/09/26,MID,1,3,0,3,9
02/08/26,EVE,1,4,1,9,9
02/08/26,MID,9,1,8,7,8
02/07/26,EVE,9,9,6,7,4
02/07/26,MID,6,9,5,5,0
02/06/26,EVE,6,9,7,0,7
02/06/26,MID,0,2,0,3,9
02/05/26,EVE,1,8,0,2,6
02/05/26,MID,6,4,7,1,8
02/04/26,EVE,2,7,2,4,5
02/04/26,MID,7,9,2,4,4
02/03/26,EVE,8,1,4,5,7
02/03/26,MID,8,1,2,6,4
02/02/26,EVE,7,0,4,7,7
02/02/26,MID,5,7,1,8,3
02/01/26,EVE,7,3,0,8,6
02/01/26,MID,5,1,8,9,9
01/31/26,EVE,5,9,1,2,2
01/31/26,MID,0,8,0,9,5
01/30/26,EVE,6,4,5,3,8
01/30/26,MID,3,6,0,8,0
01/29/26,EVE,2,4,4,5,6
01/29/26,MID,9,2,5,4,6
01/28/26,EVE,9,0,2,6,5
01/28/26,MID,4,2,7,0,7
01/27/26,EVE,5,0,7,0,2
01/27/26,MID,2,8,7,0,7
01/26/26,EVE,9,6,6,4,9
01/26/26,MID,0,1,9,4,9
01/25/26,EVE,9,7,2,4,2
01/25/26,MID,5,2,2,0,1
01/24/26,EVE,6,2,8,9,8
01/24/26,MID,4,8,3,0,3
01/23/26,EVE,5,7,9,3,4
01/23/26,MID,7,3,4,1,6
01/22/26,EVE,2,5,9,9,0
01/22/26,MID,3,7,5,7,1
01/21/26,EVE,9,9,9,6,7
01/21/26,MID,2,2,0,3,7
01/20/26,EVE,8,5,0,4,1
01/20/26,MID,4,3,6,9,0
01/19/26,EVE,0,8,1,1,3
01/19/26,MID,0,3,7,2,7
01/18/26,EVE,0,6,2,7,7
01/18/26,MID,8,7,9,6,8
01/17/26,EVE,2,6,2,1,2
01/17/26,MID,1,0,1,3,4
01/16/26,EVE,6,5,6,4,8
01/16/26,MID,1,8,4,8,8
01/15/26,EVE,8,2,4,4,0
01/15/26,MID,9,8,7,5,2
01/14/26,EVE,9,4,8,4,4
01/14/26,MID,5,6,3,3,3
01/13/26,EVE,7,6,6,3,1
01/13/26,MID,9,1,6,6,4
01/12/26,EVE,8,2,2,5,8
01/12/26,MID,9,8,4,7,7
01/11/26,EVE,4,5,2,7,9
01/11/26,MID,4,7,8,3,3
01/10/26,EVE,9,3,6,4,7
01/10/26,MID,9,3,6,0,9
01/09/26,EVE,4,7,9,0,4
01/09/26,MID,5,9,8,8,9
01/08/26,EVE,3,2,4,1,2
01/08/26,MID,0,4,9,1,7
01/07/26,EVE,3,6,3,0,4
01/07/26,MID,3,4,2,5,5
01/06/26,EVE,2,1,0,6,3
01/06/26,MID,4,9,9,6,3
01/05/26,EVE,8,9,8,0,9
01/05/26,MID,0,7,1,1,5
01/04/26,EVE,3,6,3,5,8
01/04/26,MID,7,5,6,0,5
01/03/26,EVE,3,5,3,4,7
01/03/26,MID,7,5,7,3,6
01/02/26,EVE,0,8,8,6,5
01/02/26,MID,3,1,2,8,6
01/01/26,EVE,1,6,4,6,4
01/01/26,MID,2,4,8,6,2
12/31/25,EVE,9,3,9,2,2
12/31/25,MID,0,6,1,5,6
12/30/25,EVE,4,8,4,3,2
12/30/25,MID,0,4,4,7,8
12/29/25,EVE,3,3,6,6,5
12/29/25,MID,7,4,1,8,6
12/28/25,EVE,4,6,2,4,1
12/28/25,MID,0,2,6,2,4
12/27/25,EVE,5,0,7,5,8
12/27/25,MID,4,3,2,3,3
12/26/25,EVE,7,7,9,6,1
12/26/25,MID,4,0,7,4,5
12/24/25,EVE,6,3,3,3,4
12/24/25,MID,0,7,7,1,9
12/23/25,EVE,9,3,7,7,1
12/23/25,MID,9,1,8,8,0
12/22/25,EVE,2,2,4,9,0
12/22/25,MID,0,5,7,2,3
12/21/25,EVE,5,7,6,8,4
12/21/25,MID,4,6,5,2,7
12/20/25,EVE,4,2,0,5,2
12/20/25,MID,4,6,8,7,2
12/19/25,EVE,6,1,9,6,5
12/19/25,MID,5,3,4,1,2
12/18/25,EVE,5,1,2,6,6
12/18/25,MID,6,2,6,5,3
12/17/25,EVE,7,1,2,0,9
12/17/25,MID,8,3,2,0,7
12/16/25,EVE,4,9,2,9,9
12/16/25,MID,8,1,7,3,1
12/15/25,EVE,8,6,9,0,8
12/15/25,MID,3,5,9,7,0
12/14/25,EVE,8,6,7,5,6
12/14/25,MID,5,1,3,5,4
12/13/25,EVE,8,4,9,0,6
12/13/25,MID,9,0,7,3,3
12/12/25,EVE,5,8,6,0,6
12/12/25,MID,5,7,3,9,3
12/11/25,EVE,2,3,8,8,7
12/11/25,MID,3,7,5,9,0
12/10/25,EVE,8,2,8,0,0
12/10/25,MID,7,2,1,5,3
12/09/25,EVE,8,6,3,4,4
12/09/25,MID,7,9,4,0,9
12/08/25,EVE,9,3,0,6,9
12/08/25,MID,2,9,9,4,1
12/07/25,EVE,6,1,4,3,5
12/07/25,MID,9,7,2,0,7
12/06/25,EVE,4,0,1,3,0
12/06/25,MID,6,3,4,4,3
12/05/25,EVE,0,2,1,8,3
12/05/25,MID,2,3,6,9,7
12/04/25,EVE,6,7,4,4,4
12/04/25,MID,1,4,0,3,7
12/03/25,EVE,9,5,5,3,2
12/03/25,MID,3,0,4,0,2
12/02/25,EVE,7,4,0,3,8
12/02/25,MID,8,9,0,0,2
12/01/25,EVE,6,9,5,7,8
12/01/25,MID,2,3,9,4,6
11/30/25,EVE,7,0,2,3,3
11/30/25,MID,9,8,2,5,3
11/29/25,EVE,1,8,7,6,1
11/29/25,MID,0,0,5,8,4
11/28/25,EVE,0,0,6,1,7
11/28/25,MID,0,6,1,6,8
11/27/25,EVE,0,0,7,0,8
11/27/25,MID,9,8,5,5,5
11/26/25,EVE,0,3,0,3,7
11/26/25,MID,8,2,8,1,6
11/25/25,EVE,5,4,7,9,1
11/25/25,MID,7,3,8,0,8
11/24/25,EVE,2,6,7,1,3
11/24/25,MID,3,1,1,4,1
11/23/25,EVE,5,4,6,4,4
11/23/25,MID,9,1,5,0,5
11/22/25,EVE,2,3,3,6,3
11/22/25,MID,1,7,2,7,9
11/21/25,EVE,4,8,6,0,0
11/21/25,MID,2,0,0,9,0
11/20/25,EVE,8,2,0,0,9
11/20/25,MID,7,0,6,6,0
11/19/25,EVE,2,8,5,1,3
11/19/25,MID,2,4,7,8,3
11/18/25,EVE,4,0,1,1,4
11/18/25,MID,5,2,5,1,1
11/17/25,EVE,2,8,9,1,4
11/17/25,MID,8,7,9,9,3
11/16/25,EVE,7,4,9,8,4
11/16/25,MID,6,0,7,9,5
11/15/25,EVE,8,0,1,9,8
11/15/25,MID,2,1,1,6,3
11/14/25,EVE,8,3,7,1,7
11/14/25,MID,5,6,7,6,7
11/13/25,EVE,1,4,4,3,0
11/13/25,MID,4,9,0,2,9
11/12/25,EVE,2,7,8,4,6
11/12/25,MID,8,2,3,2,9
11/11/25,EVE,5,4,6,4,0
11/11/25,MID,9,3,8,8,6
11/10/25,EVE,1,4,7,4,2
11/10/25,MID,5,8,2,9,5
11/09/25,EVE,9,6,1,7,5
11/09/25,MID,6,2,8,3,4
11/08/25,EVE,1,9,1,7,7
11/08/25,MID,6,4,7,3,8
11/07/25,EVE,6,1,5,3,2
11/07/25,MID,1,8,0,7,4
11/06/25,EVE,8,1,0,5,5
11/06/25,MID,4,6,0,0,8
11/05/25,EVE,8,0,4,3,0
11/05/25,MID,1,2,7,3,2
11/04/25,EVE,3,5,9,0,2
11/04/25,MID,8,9,6,4,5
11/03/25,EVE,8,4,7,9,4
11/03/25,MID,0,8,6,2,0
11/02/25,EVE,7,0,4,8,6
11/02/25,MID,5,4,7,7,8
11/01/25,EVE,0,7,0,9,4
11/01/25,MID,1,6,7,7,4
10/31/25,EVE,0,6,8,8,7
10/31/25,MID,1,8,5,8,5
10/30/25,EVE,2,1,3,7,0
10/30/25,MID,4,9,5,3,3
10/29/25,EVE,3,9,8,1,7
10/29/25,MID,1,9,9,5,8
10/28/25,EVE,3,9,5,9,7
10/28/25,MID,5,0,9,2,5
10/27/25,EVE,2,1,7,3,0
10/27/25,MID,9,2,4,6,2
10/26/25,EVE,9,8,9,5,6
10/26/25,MID,2,4,1,3,8
10/25/25,EVE,4,5,0,3,7
10/25/25,MID,9,0,0,6,8
10/24/25,EVE,1,6,8,0,9
10/24/25,MID,6,4,8,3,4
10/23/25,EVE,1,3,0,7,0
10/23/25,MID,6,2,8,1,1
10/22/25,EVE,1,5,3,9,8
10/22/25,MID,5,9,4,4,6
10/21/25,EVE,4,4,8,3,2
10/21/25,MID,0,1,1,0,5
10/20/25,EVE,6,4,1,4,8
10/20/25,MID,3,4,9,2,8
10/19/25,EVE,0,2,9,4,4
10/19/25,MID,7,8,4,1,3
10/18/25,EVE,4,2,8,5,7
10/18/25,MID,7,9,5,3,4
10/17/25,EVE,9,0,0,4,0
10/17/25,MID,6,1,2,7,8
10/16/25,EVE,3,9,4,5,6
10/16/25,MID,1,0,8,5,7
10/15/25,EVE,1,0,0,3,1
10/15/25,MID,1,7,5,1,1
10/14/25,EVE,3,3,8,7,9
10/14/25,MID,9,6,0,6,9
10/13/25,EVE,4,9,5,0,5
10/13/25,MID,8,0,9,0,3
10/12/25,EVE,3,6,9,5,8
10/12/25,MID,3,4,4,7,9
10/11/25,EVE,8,5,7,6,9
10/11/25,MID,6,2,6,8,3
10/10/25,EVE,9,8,6,0,9
10/10/25,MID,1,5,8,2,3
10/09/25,EVE,9,1,6,0,3
10/09/25,MID,6,2,9,4,9
10/08/25,EVE,2,8,0,2,2
10/08/25,MID,1,7,2,5,7
10/07/25,EVE,5,8,6,8,6
10/07/25,MID,6,6,8,2,5
10/06/25,EVE,5,3,7,1,8
10/06/25,MID,6,4,7,2,8
10/05/25,EVE,3,3,8,4,3
10/05/25,MID,4,1,5,5,2
10/04/25,EVE,7,3,5,4,2
10/04/25,MID,3,5,9,9,4
10/03/25,EVE,6,8,0,2,6
10/03/25,MID,1,5,2,6,7
10/02/25,EVE,0,9,6,7,2
10/02/25,MID,7,9,5,8,3
10/01/25,EVE,5,9,0,2,3
10/01/25,MID,7,2,7,5,3
09/30/25,EVE,5,1,2,8,3
09/30/25,MID,0,7,0,3,8
09/29/25,EVE,8,2,0,5,1
09/29/25,MID,4,6,4,2,9
09/28/25,EVE,6,0,5,1,6
09/28/25,MID,8,9,7,5,9
09/27/25,EVE,8,6,1,9,6
09/27/25,MID,7,4,7,7,9
09/26/25,EVE,0,5,0,8,0
09/26/25,MID,6,7,6,6,7
09/25/25,EVE,1,6,1,4,9
09/25/25,MID,6,8,7,6,1
09/24/25,EVE,5,3,5,5,4
09/24/25,MID,3,3,1,5,3
09/23/25,EVE,1,6,9,7,9
09/23/25,MID,5,1,8,6,4
09/22/25,EVE,2,7,3,9,1
09/22/25,MID,1,1,6,5,0
09/21/25,EVE,0,0,3,4,4
09/21/25,MID,6,0,0,9,9
09/20/25,EVE,7,0,7,3,6
09/20/25,MID,6,5,6,1,7
09/19/25,EVE,1,4,6,4,5
09/19/25,MID,8,7,2,8,0
09/18/25,EVE,5,1,4,5,7
09/18/25,MID,2,0,7,8,7
09/17/25,EVE,9,0,7,2,1
09/17/25,MID,6,1,8,3,3
09/16/25,EVE,5,6,1,0,7
09/16/25,MID,1,5,3,6,4
09/15/25,EVE,5,2,9,6,3
09/15/25,MID,7,5,8,9,9
09/14/25,EVE,1,0,0,9,4
09/14/25,MID,9,0,8,5,1
09/13/25,EVE,7,9,7,9,3
09/13/25,MID,5,0,1,5,5
09/12/25,EVE,6,9,0,2,8
09/12/25,MID,2,9,6,5,7
09/11/25,EVE,4,0,6,1,9
09/11/25,MID,4,4,5,4,5
09/10/25,EVE,2,6,4,4,7
09/10/25,MID,0,5,3,2,7
09/09/25,EVE,0,4,0,8,2
09/09/25,MID,9,8,9,2,5
09/08/25,EVE,8,1,3,6,7
09/08/25,MID,2,5,9,3,0
09/07/25,EVE,1,7,6,6,8
09/07/25,MID,3,8,5,6,1
09/06/25,EVE,0,0,7,2,2
09/06/25,MID,2,6,6,0,2
09/05/25,EVE,0,4,4,7,1
09/05/25,MID,2,3,5,0,9
09/04/25,EVE,2,9,7,8,7
09/04/25,MID,8,6,0,4,0
09/03/25,EVE,3,7,1,9,9
09/03/25,MID,0,9,7,5,1
09/02/25,EVE,3,8,3,3,6
09/02/25,MID,4,7,7,9,3
09/01/25,EVE,2,9,7,9,3
09/01/25,MID,0,2,1,2,4
08/31/25,EVE,8,3,5,4,1
08/31/25,MID,3,8,1,0,1
08/30/25,EVE,1,3,8,2,7
08/30/25,MID,1,4,8,6,6
08/29/25,EVE,1,8,4,0,6
08/29/25,MID,6,1,4,8,5
08/28/25,EVE,9,2,3,8,8
08/28/25,MID,3,6,9,8,9
08/27/25,EVE,4,4,5,9,4
08/27/25,MID,5,3,9,1,1
08/26/25,EVE,1,6,7,8,7
08/26/25,MID,5,7,8,1,9
08/25/25,EVE,5,7,5,0,4
08/25/25,MID,4,8,7,6,7
08/24/25,EVE,9,4,7,5,5
08/24/25,MID,2,9,3,7,5
08/23/25,EVE,9,2,8,6,1
08/23/25,MID,4,5,6,6,6
08/22/25,EVE,9,9,3,4,8
08/22/25,MID,6,7,0,7,2
08/21/25,EVE,1,2,9,9,8
08/21/25,MID,2,4,3,5,1
08/20/25,EVE,9,5,1,0,4
08/20/25,MID,8,9,8,4,8
08/19/25,EVE,3,3,5,7,5
08/19/25,MID,3,9,2,3,6
08/18/25,EVE,2,2,0,4,1
08/18/25,MID,6,2,3,9,2
08/17/25,EVE,2,1,1,9,1
08/17/25,MID,1,0,9,7,9
08/16/25,EVE,4,0,4,2,4
08/16/25,MID,7,4,9,3,6
08/15/25,EVE,4,0,9,2,7
08/15/25,MID,9,0,4,6,1
08/14/25,EVE,5,6,4,2,9
08/14/25,MID,7,1,2,9,9
08/13/25,EVE,5,8,7,3,2
08/13/25,MID,4,1,5,0,4
08/12/25,EVE,8,7,9,7,1
08/12/25,MID,2,9,0,6,8
08/11/25,EVE,9,2,0,6,2
08/11/25,MID,1,5,6,7,8
08/10/25,EVE,5,8,8,4,9
08/10/25,MID,4,7,5,4,0
08/09/25,EVE,4,0,2,0,9
08/09/25,MID,9,8,1,8,3
08/08/25,EVE,6,5,2,6,5
08/08/25,MID,1,1,9,2,8
08/07/25,EVE,6,5,6,0,0
08/07/25,MID,3,8,8,2,1
08/06/25,EVE,0,7,6,4,7
08/06/25,MID,5,5,7,3,1
08/05/25,EVE,4,9,9,8,5
08/05/25,MID,6,0,5,7,0
08/04/25,EVE,5,0,8,8,3
08/04/25,MID,8,5,9,5,0
08/03/25,EVE,9,2,3,1,3
08/03/25,MID,6,1,9,5,5
08/02/25,EVE,8,8,7,3,1
08/02/25,MID,8,7,6,0,9
08/01/25,EVE,4,8,2,0,4
08/01/25,MID,4,7,5,9,4
07/31/25,EVE,1,1,6,1,7
07/31/25,MID,9,3,2,5,6
07/30/25,EVE,1,1,7,0,2
07/30/25,MID,7,4,2,9,0
07/29/25,EVE,2,6,9,1,3
07/29/25,MID,0,0,4,0,3
07/28/25,EVE,0,1,7,0,1
07/28/25,MID,1,0,1,0,1
07/27/25,EVE,0,1,1,6,0
07/27/25,MID,3,3,7,4,1
07/26/25,EVE,0,7,9,4,3
07/26/25,MID,2,4,7,3,5
07/25/25,EVE,0,2,6,5,9
07/25/25,MID,4,3,8,5,6
07/24/25,EVE,3,8,4,4,5
07/24/25,MID,5,2,4,9,1
07/23/25,EVE,3,5,3,1,1
07/23/25,MID,7,0,7,2,3
07/22/25,EVE,7,7,4,1,3
07/22/25,MID,2,1,3,5,3
07/21/25,EVE,4,1,6,6,5
07/21/25,MID,1,9,4,8,4
07/20/25,EVE,0,9,6,9,8
07/20/25,MID,1,2,2,6,9
07/19/25,EVE,6,0,1,3,4
07/19/25,MID,7,7,5,8,3
07/18/25,EVE,4,8,8,2,9
07/18/25,MID,7,9,7,9,7
07/17/25,EVE,4,7,0,9,0
07/17/25,MID,4,1,7,8,3
07/16/25,EVE,3,9,8,5,2
07/16/25,MID,3,2,2,5,8
07/15/25,EVE,8,2,3,4,9
07/15/25,MID,5,2,5,2,3
07/14/25,EVE,8,2,9,6,1
07/14/25,MID,5,5,9,5,6
07/13/25,EVE,2,8,5,3,0
07/13/25,MID,3,5,6,3,1
07/12/25,EVE,4,4,9,3,0
07/12/25,MID,9,3,4,3,9
07/11/25,EVE,8,7,4,8,5
07/11/25,MID,6,4,5,3,9
07/10/25,EVE,9,0,1,4,0
07/10/25,MID,9,3,8,7,8
07/09/25,EVE,6,7,4,2,3
07/09/25,MID,9,8,8,2,3
07/08/25,EVE,3,8,1,2,0
07/08/25,MID,1,2,1,8,2
07/07/25,EVE,8,5,1,6,0
07/07/25,MID,7,0,9,3,2
07/06/25,EVE,3,9,7,7,4
07/06/25,MID,5,4,0,1,4
07/05/25,EVE,8,1,1,8,1
07/05/25,MID,5,5,6,7,6
07/04/25,EVE,7,9,6,8,7
07/04/25,MID,6,0,8,1,7
07/03/25,EVE,3,2,4,0,0
07/03/25,MID,3,5,6,9,0
07/02/25,EVE,8,3,8,7,9
07/02/25,MID,9,1,4,7,0
07/01/25,EVE,0,8,4,4,9
07/01/25,MID,7,8,2,6,0
06/30/25,EVE,4,6,8,9,4
06/30/25,MID,0,4,3,1,2
06/29/25,EVE,5,6,7,7,2
06/29/25,MID,0,8,1,2,2
06/28/25,EVE,6,9,5,1,8
06/28/25,MID,1,5,7,6,4
06/27/25,EVE,0,7,3,6,1
06/27/25,MID,4,9,9,4,2
06/26/25,EVE,0,1,1,5,0
06/26/25,MID,0,0,7,3,6
06/25/25,EVE,2,4,7,2,8
06/25/25,MID,8,5,2,9,8
06/24/25,EVE,6,0,4,0,0
06/24/25,MID,9,2,8,5,0
06/23/25,EVE,8,6,7,8,5
06/23/25,MID,1,8,4,0,2
06/22/25,EVE,5,2,6,5,0
06/22/25,MID,7,5,5,7,8
06/21/25,EVE,9,4,6,4,3
06/21/25,MID,1,4,5,0,7
06/20/25,EVE,2,9,9,0,1
06/20/25,MID,4,5,3,6,5
06/19/25,EVE,5,5,8,5,1
06/19/25,MID,3,4,3,1,3
